epoch,training_loss,validation_loss,validation_micro_f1_score_at_threshold_0_5,validation_macro_f1_score_at_threshold_0_5,validation_mean_area_under_precision_recall_curve,validation_micro_precision_at_threshold_0_5,validation_micro_recall_at_threshold_0_5,validation_macro_precision_at_threshold_0_5,validation_macro_recall_at_threshold_0_5,validation_true_positive_rate,validation_predicted_positive_rate_at_threshold_0_5
1,0.5312419578754645,0.2965733986347914,0.0,0.0,0.1258831154974079,0.0,0.0,0.0,0.0,0.05249150097370148,0.0
2,0.21293505136486438,0.18711372651159763,0.0,0.0,0.1880132835235037,0.0,0.0,0.0,0.0,0.05249150097370148,0.0
3,0.16970610050417537,0.1632034620270133,0.10817031070195628,0.015470704410796576,0.2849527948281563,0.9306930693069307,0.05742211362248015,0.015161290322580644,0.015793010752688172,0.05249150097370148,0.003238632719810171
4,0.1495490423638186,0.14705855026841164,0.2774626095925735,0.07616156210072852,0.36841526938400315,0.890728476821192,0.16432498472816126,0.1369927195514226,0.0608178382446518,0.05249150097370148,0.009683832488937344
5,0.13466643102520662,0.13529831171035767,0.33201189296333,0.1126710303907529,0.42538615711195504,0.8792650918635171,0.20464263897373244,0.20749607389507074,0.08844350006301907,0.05249150097370148,0.012217020457897774
6,0.12469396842040605,0.12818395625799894,0.415164123901988,0.16997443594032643,0.4542306826447416,0.8536121673003803,0.274282223579719,0.2334883747072664,0.1448155413388061,0.05249150097370148,0.016866542679407428
7,0.11824825497196732,0.12270552292466164,0.44684684684684683,0.19601420553926435,0.4768218856246885,0.8507718696397941,0.3029932803909591,0.27665236849517344,0.16449860988145834,0.05249150097370148,0.018694285897518117
8,0.1131247657773306,0.11941295070573688,0.45764966740576496,0.20341327743954749,0.49199764690101483,0.8349514563106796,0.31521075137446547,0.31571245985554947,0.17781489003113063,0.05249150097370148,0.019816584364779066
9,0.10989589083323376,0.1171354865655303,0.4575513851653262,0.20552243860528482,0.49990890972336577,0.8519134775374376,0.3127672571777642,0.31646874022860144,0.17759677490584558,0.05249150097370148,0.019271467966395176
10,0.10822690712462227,0.11641190107911825,0.4731277533039648,0.2192303610102478,0.5040348807392787,0.8483412322274881,0.3280390959071472,0.35927268919677313,0.18902994498656397,0.05249150097370148,0.020297569422176618
