,precision,recall,f1-score,support
Electronic,0.525,0.42,0.4666666666666667,100.0
Experimental,0.2796610169491525,0.33,0.30275229357798167,100.0
Folk,0.29069767441860467,0.25,0.26881720430107525,100.0
Hip-Hop,0.6296296296296297,0.68,0.6538461538461539,100.0
Instrumental,0.3783783783783784,0.56,0.45161290322580644,100.0
International,0.5428571428571428,0.38,0.4470588235294118,100.0
Pop,0.27450980392156865,0.28,0.27722772277227725,100.0
Rock,0.5340909090909091,0.47,0.5,100.0
accuracy,0.42125,0.42125,0.42125,0.42125
macro avg,0.43185306940567325,0.42125,0.4209977209899216,800.0
weighted avg,0.43185306940567314,0.42125,0.4209977209899216,800.0
