epoch,training_loss,training_accuracy,training_macro_f1_score,training_micro_f1_score,training_macro_area_under_precision_recall_curve,validation_loss,validation_accuracy,validation_macro_f1_score,validation_micro_f1_score,validation_macro_area_under_precision_recall_curve
1,1.7479007316832809,0.36805881432817145,0.3552381019696721,0.36805881432817145,0.3475470178551745,1.66253005027771,0.37625,0.3467548232506599,0.37625,0.4234765453614106
2,1.5849037937914356,0.45518535898639134,0.4440760326050549,0.45518535898639134,0.4474362605507167,2.2187562763690947,0.3325,0.26893732460649017,0.3325,0.38187585780808164
3,1.5102372826795967,0.4927264195213515,0.48427881644922144,0.4927264195213515,0.49337336068083854,1.817153843641281,0.35625,0.3292777931811036,0.35625,0.40144517175941397
4,1.4527723398190717,0.5196308462380729,0.5120607226288678,0.5196308462380729,0.5269781055683195,2.9046011400222778,0.24125,0.21394963000770242,0.24125,0.32929091181907005
5,1.3987290243876478,0.5376192710777413,0.5304948250605096,0.5376192710777413,0.5615456174941735,1.791897840499878,0.32125,0.32698060335726964,0.32125,0.3909208065960199
6,1.2917778451137283,0.5853277021742531,0.5805860167295251,0.5853277021742531,0.6298898006959568,1.6954628932476044,0.42125,0.4005266734088351,0.42125,0.4816816071571995
7,1.203445110227065,0.6291256061317065,0.6255622274534857,0.6291256061317065,0.6764500598118578,1.4408444273471832,0.49125,0.4866255120978708,0.49125,0.5124055033934055
8,1.1219750072182988,0.6627561395276084,0.6589754084837833,0.6627561395276084,0.7211360830037812,1.6409172189235688,0.44875,0.4479105984945403,0.44875,0.48885321654561675
9,1.0314418896438369,0.7045205693727514,0.7022920170518167,0.7045205693727514,0.7701335702107619,1.7446634423732759,0.42875,0.40557257452710754,0.42875,0.4612990048459051
10,0.9166066453021662,0.7519161582981386,0.751248837162561,0.7519161582981386,0.8255045654629098,1.7760108482837678,0.43625,0.4258534574940117,0.43625,0.4656237639673856
11,0.8022841959142841,0.8052557484748945,0.8047145336249371,0.8052557484748945,0.8781161831534141,1.719892829656601,0.43875,0.4360636087932549,0.43875,0.470149370989693
12,0.6351146652406507,0.8862818707961834,0.886380562825785,0.8862818707961834,0.9457920743796433,1.6917606472969056,0.47625,0.46039963495325675,0.47625,0.4909699937611699
13,0.5370814511609268,0.9271077741279524,0.9270400302750538,0.9271077741279524,0.9754687767111486,1.8437679779529572,0.465,0.44409403933059827,0.465,0.4760774775906884
14,0.48101396834218185,0.9502580947911778,0.9502764439436372,0.9502580947911778,0.9863798877698274,1.808621860742569,0.45875,0.4467401645925352,0.45875,0.48890209573014287
15,0.44523652273408126,0.9660566244329736,0.9660646142265819,0.9660566244329736,0.9919271435778498,1.9102527403831482,0.43,0.4235021105828919,0.43,0.4574944325554853
16,0.3963103669733578,0.9802909432191459,0.9803165772001042,0.9802909432191459,0.9974326517583694,1.8118909049034118,0.45625,0.45543394514727403,0.45625,0.4682897025785078
17,0.3822817979760709,0.9846707336148913,0.9846682605098721,0.9846707336148913,0.9984841397110101,1.8060900044441224,0.44625,0.44308760806431335,0.44625,0.4626820559739204
