track_id,nodes,edges,temporal_edges,similarity_edges,similarity_edges_per_node,segmentation_mode
2,20,126,38,88,4.4,beat_bar
5,13,80,24,56,4.3076923076923075,beat_bar
10,14,90,26,64,4.571428571428571,beat_bar
140,13,84,24,60,4.615384615384615,beat_bar
141,13,74,24,50,3.8461538461538463,beat_bar
148,11,64,20,44,4.0,beat_bar
182,18,108,34,74,4.111111111111111,beat_bar
190,13,78,24,54,4.153846153846154,beat_bar
193,12,72,22,50,4.166666666666667,beat_bar
194,13,76,24,52,4.0,beat_bar
197,14,86,26,60,4.285714285714286,beat_bar
200,12,76,22,54,4.5,beat_bar
203,15,82,28,54,3.6,beat_bar
204,14,82,26,56,4.0,beat_bar
207,15,82,28,54,3.6,beat_bar
210,12,72,22,50,4.166666666666667,beat_bar
211,12,72,22,50,4.166666666666667,beat_bar
212,12,70,22,48,4.0,beat_bar
213,17,102,32,70,4.117647058823529,beat_bar
255,15,94,28,66,4.4,beat_bar
256,15,96,28,68,4.533333333333333,beat_bar
368,15,96,28,68,4.533333333333333,beat_bar
424,13,76,24,52,4.0,beat_bar
459,12,78,22,56,4.666666666666667,beat_bar
534,19,118,36,82,4.315789473684211,beat_bar
540,18,118,34,84,4.666666666666667,beat_bar
546,13,76,24,52,4.0,beat_bar
574,15,92,28,64,4.266666666666667,beat_bar
602,19,110,36,74,3.8947368421052633,beat_bar
615,12,70,22,48,4.0,beat_bar
620,17,100,32,68,4.0,beat_bar
621,12,68,22,46,3.8333333333333335,beat_bar
625,12,76,22,54,4.5,beat_bar
666,16,96,30,66,4.125,beat_bar
667,14,80,26,54,3.857142857142857,beat_bar
676,12,70,22,48,4.0,beat_bar
690,15,96,28,68,4.533333333333333,beat_bar
694,14,88,26,62,4.428571428571429,beat_bar
695,24,144,46,98,4.083333333333333,beat_bar
704,17,100,32,68,4.0,beat_bar
705,12,68,22,46,3.8333333333333335,beat_bar
706,21,132,40,92,4.380952380952381,beat_bar
707,17,92,32,60,3.5294117647058822,beat_bar
708,21,134,40,94,4.476190476190476,beat_bar
709,11,60,20,40,3.6363636363636362,beat_bar
714,14,94,26,68,4.857142857142857,beat_bar
715,17,94,32,62,3.6470588235294117,beat_bar
716,16,98,30,68,4.25,beat_bar
718,14,82,26,56,4.0,beat_bar
777,10,56,18,38,3.8,beat_bar
814,9,52,16,36,4.0,beat_bar
821,13,80,24,56,4.3076923076923075,beat_bar
822,8,46,14,32,4.0,beat_bar
825,10,56,18,38,3.8,beat_bar
853,18,102,34,68,3.7777777777777777,beat_bar
890,11,68,20,48,4.363636363636363,beat_bar
892,22,126,42,84,3.8181818181818183,beat_bar
897,17,112,32,80,4.705882352941177,beat_bar
993,16,98,30,68,4.25,beat_bar
995,7,38,12,26,3.7142857142857144,beat_bar
997,18,106,34,72,4.0,beat_bar
998,12,78,22,56,4.666666666666667,beat_bar
1039,15,98,28,70,4.666666666666667,beat_bar
1040,15,88,28,60,4.0,beat_bar
1066,13,70,24,46,3.5384615384615383,beat_bar
1069,12,76,22,54,4.5,beat_bar
1073,15,88,28,60,4.0,beat_bar
1075,17,104,32,72,4.235294117647059,beat_bar
1082,11,64,20,44,4.0,beat_bar
1083,22,136,42,94,4.2727272727272725,beat_bar
1087,12,78,22,56,4.666666666666667,beat_bar
1102,7,38,12,26,3.7142857142857144,beat_bar
1193,13,80,24,56,4.3076923076923075,beat_bar
1195,14,88,26,62,4.428571428571429,beat_bar
1196,12,78,22,56,4.666666666666667,beat_bar
1197,15,88,28,60,4.0,beat_bar
1249,13,70,24,46,3.5384615384615383,beat_bar
1259,12,78,22,56,4.666666666666667,beat_bar
1270,10,58,18,40,4.0,beat_bar
1276,15,86,28,58,3.8666666666666667,beat_bar
1277,16,106,30,76,4.75,beat_bar
1278,20,122,38,84,4.2,beat_bar
1417,15,88,28,60,4.0,beat_bar
1427,16,104,30,74,4.625,beat_bar
1443,19,120,36,84,4.421052631578948,beat_bar
1482,24,146,46,100,4.166666666666667,beat_bar
1510,10,64,18,46,4.6,beat_bar
1544,16,92,30,62,3.875,beat_bar
1642,12,74,22,52,4.333333333333333,beat_bar
1644,17,98,32,66,3.8823529411764706,beat_bar
1649,15,82,28,54,3.6,beat_bar
1661,20,120,38,82,4.1,beat_bar
1663,20,120,38,82,4.1,beat_bar
1666,16,92,30,62,3.875,beat_bar
1673,12,74,22,52,4.333333333333333,beat_bar
1680,14,88,26,62,4.428571428571429,beat_bar
1681,14,76,26,50,3.5714285714285716,beat_bar
1682,17,104,32,72,4.235294117647059,beat_bar
1683,12,68,22,46,3.8333333333333335,beat_bar
1684,21,120,40,80,3.8095238095238093,beat_bar
1685,15,96,28,68,4.533333333333333,beat_bar
1686,15,92,28,64,4.266666666666667,beat_bar
1687,13,72,24,48,3.6923076923076925,beat_bar
1688,21,122,40,82,3.9047619047619047,beat_bar
1689,17,104,32,72,4.235294117647059,beat_bar
1701,17,114,32,82,4.823529411764706,beat_bar
1702,16,98,30,68,4.25,beat_bar
1703,17,102,32,70,4.117647058823529,beat_bar
1704,8,46,14,32,4.0,beat_bar
1706,15,84,28,56,3.7333333333333334,beat_bar
1720,14,80,26,54,3.857142857142857,beat_bar
1732,19,120,36,84,4.421052631578948,beat_bar
1733,12,74,22,52,4.333333333333333,beat_bar
1735,10,58,18,40,4.0,beat_bar
1736,22,134,42,92,4.181818181818182,beat_bar
1883,21,130,40,90,4.285714285714286,beat_bar
1891,19,120,36,84,4.421052631578948,beat_bar
1893,14,78,26,52,3.7142857142857144,beat_bar
1924,11,64,20,44,4.0,beat_bar
1925,12,74,22,52,4.333333333333333,beat_bar
1929,12,74,22,52,4.333333333333333,beat_bar
1930,15,82,28,54,3.6,beat_bar
2012,15,92,28,64,4.266666666666667,beat_bar
2096,18,118,34,84,4.666666666666667,beat_bar
2097,9,54,16,38,4.222222222222222,beat_bar
2099,20,126,38,88,4.4,beat_bar
3263,13,82,24,58,4.461538461538462,beat_bar
3264,10,58,18,40,4.0,fixed_fallback
3265,12,68,22,46,3.8333333333333335,beat_bar
3266,9,46,16,30,3.3333333333333335,beat_bar
3270,16,102,30,72,4.5,beat_bar
3271,15,84,28,56,3.7333333333333334,beat_bar
3272,21,130,40,90,4.285714285714286,beat_bar
3273,14,94,26,68,4.857142857142857,beat_bar
3274,16,98,30,68,4.25,beat_bar
3492,10,62,18,44,4.4,beat_bar
3532,19,122,36,86,4.526315789473684,beat_bar
3533,15,94,28,66,4.4,beat_bar
3534,9,48,16,32,3.5555555555555554,beat_bar
3535,13,82,24,58,4.461538461538462,beat_bar
3537,15,84,28,56,3.7333333333333334,beat_bar
3538,23,140,44,96,4.173913043478261,beat_bar
3573,11,68,20,48,4.363636363636363,beat_bar
3598,13,76,24,52,4.0,beat_bar
3624,17,104,32,72,4.235294117647059,beat_bar
3707,19,116,36,80,4.2105263157894735,beat_bar
3708,18,108,34,74,4.111111111111111,beat_bar
3720,14,74,26,48,3.4285714285714284,beat_bar
3721,7,38,12,26,3.7142857142857144,beat_bar
3722,12,74,22,52,4.333333333333333,beat_bar
3724,14,86,26,60,4.285714285714286,beat_bar
3725,15,88,28,60,4.0,beat_bar
3761,11,64,20,44,4.0,beat_bar
3762,17,100,32,68,4.0,beat_bar
3763,20,118,38,80,4.0,beat_bar
3765,15,88,28,60,4.0,beat_bar
3766,8,44,14,30,3.75,beat_bar
3775,14,90,26,64,4.571428571428571,beat_bar
3776,19,110,36,74,3.8947368421052633,beat_bar
3777,17,114,32,82,4.823529411764706,beat_bar
3778,14,90,26,64,4.571428571428571,beat_bar
3779,20,122,38,84,4.2,beat_bar
3832,14,84,26,58,4.142857142857143,beat_bar
3833,22,132,42,90,4.090909090909091,beat_bar
3840,20,126,38,88,4.4,beat_bar
3880,17,108,32,76,4.470588235294118,beat_bar
3895,17,96,32,64,3.764705882352941,beat_bar
3896,15,84,28,56,3.7333333333333334,beat_bar
3904,20,120,38,82,4.1,beat_bar
3905,10,52,18,34,3.4,beat_bar
3906,20,116,38,78,3.9,beat_bar
3908,11,68,20,48,4.363636363636363,beat_bar
3909,20,120,38,82,4.1,beat_bar
3910,10,60,18,42,4.2,fixed_fallback
3911,15,78,28,50,3.3333333333333335,beat_bar
3912,12,74,22,52,4.333333333333333,beat_bar
3913,19,112,36,76,4.0,beat_bar
3920,14,80,26,54,3.857142857142857,beat_bar
3921,14,86,26,60,4.285714285714286,beat_bar
3950,14,82,26,56,4.0,beat_bar
4013,15,84,28,56,3.7333333333333334,beat_bar
4017,14,82,26,56,4.0,beat_bar
4022,14,86,26,60,4.285714285714286,beat_bar
4037,21,132,40,92,4.380952380952381,beat_bar
4066,16,106,30,76,4.75,beat_bar
4067,12,66,22,44,3.6666666666666665,beat_bar
4068,15,88,28,60,4.0,beat_bar
4069,15,96,28,68,4.533333333333333,beat_bar
4070,12,72,22,50,4.166666666666667,beat_bar
4071,12,72,22,50,4.166666666666667,beat_bar
4072,18,118,34,84,4.666666666666667,beat_bar
4073,18,108,34,74,4.111111111111111,beat_bar
4074,13,80,24,56,4.3076923076923075,beat_bar
4075,14,76,26,50,3.5714285714285716,beat_bar
4076,13,74,24,50,3.8461538461538463,beat_bar
4077,16,100,30,70,4.375,beat_bar
4078,14,82,26,56,4.0,beat_bar
4079,17,96,32,64,3.764705882352941,beat_bar
4080,16,94,30,64,4.0,beat_bar
4091,15,90,28,62,4.133333333333334,beat_bar
4092,15,92,28,64,4.266666666666667,beat_bar
4093,13,72,24,48,3.6923076923076925,beat_bar
4094,12,66,22,44,3.6666666666666665,beat_bar
4095,10,58,18,40,4.0,beat_bar
4096,23,134,44,90,3.9130434782608696,beat_bar
4097,11,64,20,44,4.0,beat_bar
4098,14,88,26,62,4.428571428571429,beat_bar
4099,17,102,32,70,4.117647058823529,beat_bar
4100,21,126,40,86,4.095238095238095,beat_bar
4101,11,66,20,46,4.181818181818182,beat_bar
4102,16,98,30,68,4.25,beat_bar
4103,11,68,20,48,4.363636363636363,beat_bar
4108,23,154,44,110,4.782608695652174,beat_bar
4232,14,76,26,50,3.5714285714285716,beat_bar
4233,23,142,44,98,4.260869565217392,beat_bar
4234,12,74,22,52,4.333333333333333,beat_bar
4235,15,84,28,56,3.7333333333333334,beat_bar
4236,15,90,28,62,4.133333333333334,beat_bar
4239,16,102,30,72,4.5,beat_bar
4450,18,110,34,76,4.222222222222222,beat_bar
4507,12,68,22,46,3.8333333333333335,beat_bar
4508,13,78,24,54,4.153846153846154,beat_bar
4509,15,92,28,64,4.266666666666667,beat_bar
4510,15,94,28,66,4.4,beat_bar
4511,20,124,38,86,4.3,beat_bar
4519,12,64,22,42,3.5,beat_bar
4520,19,116,36,80,4.2105263157894735,beat_bar
4521,16,88,30,58,3.625,beat_bar
4522,12,66,22,44,3.6666666666666665,beat_bar
4682,22,138,42,96,4.363636363636363,beat_bar
4684,21,126,40,86,4.095238095238095,beat_bar
4685,20,120,38,82,4.1,beat_bar
4688,20,116,38,78,3.9,beat_bar
4777,16,100,30,70,4.375,beat_bar
4778,14,86,26,60,4.285714285714286,beat_bar
4779,14,84,26,58,4.142857142857143,beat_bar
4780,10,60,18,42,4.2,beat_bar
4781,17,108,32,76,4.470588235294118,beat_bar
4782,16,98,30,68,4.25,beat_bar
4784,18,114,34,80,4.444444444444445,beat_bar
4785,14,86,26,60,4.285714285714286,beat_bar
4786,16,90,30,60,3.75,beat_bar
4787,21,114,40,74,3.5238095238095237,beat_bar
4788,16,94,30,64,4.0,beat_bar
4799,9,56,16,40,4.444444444444445,beat_bar
4835,15,92,28,64,4.266666666666667,beat_bar
4836,14,80,26,54,3.857142857142857,beat_bar
4838,16,98,30,68,4.25,beat_bar
4846,16,94,30,64,4.0,beat_bar
4848,14,82,26,56,4.0,beat_bar
4849,13,80,24,56,4.3076923076923075,beat_bar
5006,11,66,20,46,4.181818181818182,beat_bar
5156,16,92,30,62,3.875,beat_bar
5157,11,64,20,44,4.0,beat_bar
5158,20,128,38,90,4.5,beat_bar
5159,15,88,28,60,4.0,beat_bar
5169,17,98,32,66,3.8823529411764706,beat_bar
5170,11,60,20,40,3.6363636363636362,beat_bar
5171,10,58,18,40,4.0,fixed_fallback
5191,21,130,40,90,4.285714285714286,beat_bar
5264,21,136,40,96,4.571428571428571,beat_bar
5268,14,84,26,58,4.142857142857143,beat_bar
5376,11,58,20,38,3.4545454545454546,beat_bar
5381,16,90,30,60,3.75,beat_bar
5521,16,100,30,70,4.375,beat_bar
5879,17,104,32,72,4.235294117647059,beat_bar
5936,21,130,40,90,4.285714285714286,beat_bar
5940,15,94,28,66,4.4,beat_bar
6329,16,100,30,70,4.375,beat_bar
6330,13,80,24,56,4.3076923076923075,beat_bar
6331,13,74,24,50,3.8461538461538463,beat_bar
6332,12,70,22,48,4.0,beat_bar
6333,13,76,24,52,4.0,beat_bar
6342,13,76,24,52,4.0,beat_bar
6354,15,92,28,64,4.266666666666667,beat_bar
6357,15,86,28,58,3.8666666666666667,beat_bar
6358,8,44,14,30,3.75,beat_bar
6360,15,84,28,56,3.7333333333333334,beat_bar
6363,14,76,26,50,3.5714285714285716,beat_bar
6366,14,92,26,66,4.714285714285714,beat_bar
6367,21,122,40,82,3.9047619047619047,beat_bar
6368,15,88,28,60,4.0,beat_bar
6370,13,82,24,58,4.461538461538462,beat_bar
6372,15,88,28,60,4.0,beat_bar
6373,19,118,36,82,4.315789473684211,beat_bar
6376,15,92,28,64,4.266666666666667,beat_bar
6379,12,68,22,46,3.8333333333333335,beat_bar
6380,15,86,28,58,3.8666666666666667,beat_bar
6381,18,100,34,66,3.6666666666666665,beat_bar
6382,18,112,34,78,4.333333333333333,beat_bar
6383,11,68,20,48,4.363636363636363,beat_bar
