,precision,recall,f1-score,support
Electronic,0.5078125,0.65,0.5701754385964912,100.0
Experimental,0.3037037037037037,0.41,0.34893617021276596,100.0
Folk,0.23943661971830985,0.17,0.19883040935672514,100.0
Hip-Hop,0.7526881720430108,0.7,0.7253886010362695,100.0
Instrumental,0.3780487804878049,0.31,0.34065934065934067,100.0
International,0.5849056603773585,0.62,0.6019417475728155,100.0
Pop,0.42,0.42,0.42,100.0
Rock,0.6941176470588235,0.59,0.6378378378378379,100.0
accuracy,0.48375,0.48375,0.48375,0.48375
macro avg,0.48508913542362636,0.48375,0.48047119315903075,800.0
weighted avg,0.48508913542362636,0.48375,0.48047119315903075,800.0
