,precision,recall,f1-score,support
Blues,0.0,0.0,0.0,8.0
Classical,0.6966292134831461,1.0,0.8211920529801324,62.0
Country,0.0,0.0,0.0,18.0
Easy Listening,0.0,0.0,0.0,6.0
Electronic,0.881578947368421,0.881578947368421,0.881578947368421,532.0
Experimental,0.6048387096774194,0.6048387096774194,0.6048387096774194,124.0
Folk,0.24793388429752067,0.5769230769230769,0.3468208092485549,52.0
Hip-Hop,0.9795918367346939,0.8,0.8807339449541285,120.0
Instrumental,0.3333333333333333,0.04054054054054054,0.07228915662650602,74.0
International,0.0,0.0,0.0,2.0
Jazz,0.9032258064516129,0.717948717948718,0.8,39.0
Old-Time / Historic,1.0,1.0,1.0,51.0
Pop,0.2,0.10526315789473684,0.13793103448275862,19.0
Rock,0.7777777777777778,0.8721311475409836,0.8222565687789799,610.0
Soul-RnB,0.0,0.0,0.0,42.0
Spoken,0.0,0.0,0.0,12.0
accuracy,0.7611518915866742,0.7611518915866742,0.7611518915866742,0.7611518915866742
macro avg,0.4140568443202453,0.4124515186183685,0.3979775765073063,1771.0
weighted avg,0.737872112473356,0.7611518915866742,0.739911494613721,1771.0
