tag,f1_score,average_precision_area_under_precision_recall_curve,test_positive_examples,F1,AUC_PR_AP
dubstep,0.6666666666666666,1.0,1,0.6666666666666666,1.0
terror,1.0,1.0,2,1.0,1.0
hip hop,0.2857142857142857,1.0,1,0.2857142857142857,1.0
halloween,0.8888888888888888,0.9666666666666666,5,0.8888888888888888,0.9666666666666666
chip music,0.6666666666666666,0.95,4,0.6666666666666666,0.95
dub,0.75,0.9166666666666665,3,0.75,0.9166666666666665
horror,0.6666666666666666,0.8588235294117648,5,0.6666666666666666,0.8588235294117648
chiptune,0.11320754716981132,0.6623305233327508,46,0.11320754716981132,0.6623305233327508
micromusic,0.0,0.6387093770461933,43,0.0,0.6387093770461933
electronica,0.17391304347826086,0.5666666666666667,2,0.17391304347826086,0.5666666666666667
8bit,0.04878048780487805,0.5432729138141916,35,0.04878048780487805,0.5432729138141916
electro,0.0,0.1252098559687966,28,0.0,0.1252098559687966
electronic,0.10256410256410256,0.1068609915296232,26,0.10256410256410256,0.1068609915296232
new wave,0.06666666666666667,0.10081946466694727,26,0.06666666666666667,0.10081946466694727
piano,0.0,0.09578837961393061,9,0.0,0.09578837961393061
techno,0.0,0.08478260869565217,2,0.0,0.08478260869565217
punk,0.0,0.08028145956682228,21,0.0,0.08028145956682228
instrumental,0.05555555555555555,0.07904853824033609,16,0.05555555555555555,0.07904853824033609
classical,0.058823529411764705,0.057405875294207306,12,0.058823529411764705,0.057405875294207306
dance,0.0,0.054533138552186645,8,0.0,0.054533138552186645
experimental,0.0,0.028143269911192748,10,0.0,0.028143269911192748
rock,0.0,0.027696565496616952,27,0.0,0.027696565496616952
jazz,0.0,0.02419030756648597,4,0.0,0.02419030756648597
drone,0.0,0.020151824397450935,8,0.0,0.020151824397450935
psychedelic,0.0,0.018836938756834645,8,0.0,0.018836938756834645
ambient,0.0,0.015173641725665356,8,0.0,0.015173641725665356
new zealand,0.0,0.013892452850618707,45,0.0,0.013892452850618707
idm,0.0,0.011757006457552186,9,0.0,0.011757006457552186
spettro records,0.0,0.010601101429149648,6,0.0,0.010601101429149648
glitch,0.0,0.009786030329926913,11,0.0,0.009786030329926913
downtempo,0.0,0.008422097431406402,4,0.0,0.008422097431406402
funk,0.0,0.00578724869500793,7,0.0,0.00578724869500793
noise,0.0,0.0051748732285157775,4,0.0,0.0051748732285157775
clinical archives,0.0,0.005169460609103125,4,0.0,0.005169460609103125
lo-fi,0.0,0.001652892561983471,1,0.0,0.001652892561983471
tracks to sync,0.0,0.0,0,0.0,0.0
bach,0.0,0.0,0,0.0,0.0
section 27,0.0,0.0,0,0.0,0.0
johann sebastian bach,0.0,0.0,0,0.0,0.0
choral,0.0,0.0,0,0.0,0.0
baroque,0.0,0.0,0,0.0,0.0
shoegaze,0.0,0.0,0,0.0,0.0
era 1,0.0,0.0,0,0.0,0.0
chamber music,0.0,0.0,0,0.0,0.0
choral music,0.0,0.0,0,0.0,0.0
acid,0.0,0.0,0,0.0,0.0
garage,0.0,0.0,0,0.0,0.0
breakcore,0.0,0.0,0,0.0,0.0
