file,hf_index,split,pair_id
00001.pt,1,training,-0SdAVK79lg.wav
00710.pt,710,training,6807299U5eg.wav
01426.pt,1426,training,AJTU5RhF3S4.wav
02274.pt,2274,training,JCfZpSEH77Y.wav
03095.pt,3095,training,TEWYFkjH2jc.wav
03859.pt,3859,training,bBy0NCoCEHc.wav
04640.pt,4640,training,lnJdWXRgjKo.wav
05348.pt,5348,training,v5SsASLy2c8.wav
00000.pt,0,validation,-0Gj8-vB1q4.wav
00551.pt,551,validation,4PNPgaLKFlc.wav
01503.pt,1503,validation,AuZNuyR2OJs.wav
02065.pt,2065,validation,Gw0KmZ3kbjs.wav
02651.pt,2651,validation,No4Bi6mG1J8.wav
03226.pt,3226,validation,UwxatzcYf9Q.wav
03980.pt,3980,validation,ckOe-8qdaew.wav
05292.pt,5292,validation,uCCdUB7D10U.wav
00064.pt,64,test,-bgHkxwoliw.wav
01208.pt,1208,test,xyco-5DC_K8.wav
02009.pt,2009,test,GHQlBD-6rkA.wav
03254.pt,3254,test,VG6-MlmCgzI.wav
04069.pt,4069,test,dwAo0dKCyBI.wav
04596.pt,4596,test,l5QPXVIxxwk.wav
05007.pt,5007,test,qaQjG9SwORU.wav
05351.pt,5351,test,v88cAXP03As.wav
