hf_index,nodes,edges,temporal_edges,similarity_edges,similarity_edges_per_node,segmentation_mode
0,9,52,16,36,4.0,beat_2
1,10,56,18,38,3.8,beat_2
2,10,58,18,40,4.0,beat_2
3,10,62,18,44,4.4,beat_2
4,12,74,22,52,4.333333333333333,beat_2
5,6,30,10,20,3.3333333333333335,beat_2
6,8,46,14,32,4.0,beat_2
7,9,52,16,36,4.0,beat_2
8,6,30,10,20,3.3333333333333335,beat_2
9,12,70,22,48,4.0,beat_2
10,5,20,8,12,2.4,beat_2
11,16,90,30,60,3.75,beat_2
12,9,56,16,40,4.444444444444445,beat_2
13,8,46,14,32,4.0,beat_2
14,6,30,10,20,3.3333333333333335,beat_2
15,10,62,18,44,4.4,beat_2
16,10,62,18,44,4.4,beat_2
17,10,54,18,36,3.6,beat_2
18,9,52,16,36,4.0,beat_2
19,8,46,14,32,4.0,beat_2
20,17,102,32,70,4.117647058823529,beat_2
21,8,44,14,30,3.75,beat_2
22,9,52,16,36,4.0,beat_2
23,12,78,22,56,4.666666666666667,beat_2
24,10,60,18,42,4.2,fixed_1s
25,12,76,22,54,4.5,beat_2
26,9,54,16,38,4.222222222222222,beat_2
27,14,84,26,58,4.142857142857143,beat_2
28,8,44,14,30,3.75,beat_2
29,7,36,12,24,3.4285714285714284,beat_2
30,14,78,26,52,3.7142857142857144,beat_2
31,13,72,24,48,3.6923076923076925,beat_2
32,8,46,14,32,4.0,beat_2
33,9,54,16,38,4.222222222222222,beat_2
34,11,68,20,48,4.363636363636363,beat_2
35,13,74,24,50,3.8461538461538463,beat_2
36,6,28,10,18,3.0,beat_2
37,9,52,16,36,4.0,beat_2
38,12,74,22,52,4.333333333333333,beat_2
39,10,58,18,40,4.0,beat_2
40,13,76,24,52,4.0,beat_2
41,6,30,10,20,3.3333333333333335,beat_2
42,10,60,18,42,4.2,beat_2
43,6,30,10,20,3.3333333333333335,beat_2
44,11,66,20,46,4.181818181818182,beat_2
45,6,30,10,20,3.3333333333333335,beat_2
46,10,58,18,40,4.0,beat_2
47,10,64,18,46,4.6,beat_2
48,10,60,18,42,4.2,beat_2
49,9,50,16,34,3.7777777777777777,beat_2
50,7,38,12,26,3.7142857142857144,beat_2
51,13,78,24,54,4.153846153846154,beat_2
52,10,56,18,38,3.8,fixed_1s
53,5,20,8,12,2.4,beat_2
54,7,40,12,28,4.0,beat_2
55,10,60,18,42,4.2,beat_2
56,11,66,20,46,4.181818181818182,beat_2
57,10,52,18,34,3.4,beat_2
58,7,38,12,26,3.7142857142857144,beat_2
59,11,68,20,48,4.363636363636363,beat_2
60,12,72,22,50,4.166666666666667,beat_2
61,11,60,20,40,3.6363636363636362,beat_2
62,11,66,20,46,4.181818181818182,beat_2
63,7,38,12,26,3.7142857142857144,beat_2
64,12,66,22,44,3.6666666666666665,beat_2
65,10,54,18,36,3.6,beat_2
66,11,68,20,48,4.363636363636363,beat_2
67,12,68,22,46,3.8333333333333335,beat_2
68,11,68,20,48,4.363636363636363,beat_2
69,11,66,20,46,4.181818181818182,beat_2
70,8,48,14,34,4.25,beat_2
71,9,52,16,36,4.0,beat_2
72,14,90,26,64,4.571428571428571,beat_2
73,12,72,22,50,4.166666666666667,beat_2
74,9,52,16,36,4.0,beat_2
75,10,58,18,40,4.0,beat_2
76,12,72,22,50,4.166666666666667,beat_2
77,8,46,14,32,4.0,beat_2
78,7,38,12,26,3.7142857142857144,beat_2
79,10,56,18,38,3.8,beat_2
80,7,38,12,26,3.7142857142857144,beat_2
81,11,68,20,48,4.363636363636363,beat_2
82,10,60,18,42,4.2,beat_2
83,11,66,20,46,4.181818181818182,beat_2
84,14,90,26,64,4.571428571428571,beat_2
85,11,66,20,46,4.181818181818182,beat_2
86,10,60,18,42,4.2,beat_2
87,17,98,32,66,3.8823529411764706,beat_2
88,14,90,26,64,4.571428571428571,beat_2
89,13,76,24,52,4.0,beat_2
90,13,74,24,50,3.8461538461538463,beat_2
91,9,56,16,40,4.444444444444445,beat_2
92,10,60,18,42,4.2,beat_2
93,11,64,20,44,4.0,beat_2
94,11,66,20,46,4.181818181818182,beat_2
95,11,64,20,44,4.0,beat_2
96,9,56,16,40,4.444444444444445,beat_2
97,12,64,22,42,3.5,beat_2
98,11,62,20,42,3.8181818181818183,beat_2
99,9,54,16,38,4.222222222222222,beat_2
100,10,54,18,36,3.6,beat_2
101,7,38,12,26,3.7142857142857144,beat_2
102,13,76,24,52,4.0,beat_2
103,5,20,8,12,2.4,beat_2
104,12,74,22,52,4.333333333333333,beat_2
105,8,48,14,34,4.25,beat_2
106,12,72,22,50,4.166666666666667,beat_2
107,9,52,16,36,4.0,beat_2
108,13,74,24,50,3.8461538461538463,beat_2
109,10,60,18,42,4.2,beat_2
110,9,50,16,34,3.7777777777777777,beat_2
111,12,66,22,44,3.6666666666666665,beat_2
112,8,42,14,28,3.5,beat_2
113,13,78,24,54,4.153846153846154,beat_2
114,8,44,14,30,3.75,beat_2
115,10,62,18,44,4.4,beat_2
116,12,74,22,52,4.333333333333333,beat_2
117,8,46,14,32,4.0,beat_2
118,9,50,16,34,3.7777777777777777,beat_2
119,12,74,22,52,4.333333333333333,beat_2
120,11,64,20,44,4.0,beat_2
121,10,64,18,46,4.6,beat_2
122,10,54,18,36,3.6,fixed_1s
123,11,62,20,42,3.8181818181818183,beat_2
124,6,30,10,20,3.3333333333333335,beat_2
125,12,74,22,52,4.333333333333333,beat_2
126,8,46,14,32,4.0,beat_2
127,8,44,14,30,3.75,beat_2
128,9,52,16,36,4.0,beat_2
129,10,52,18,34,3.4,fixed_1s
130,7,38,12,26,3.7142857142857144,beat_2
131,12,68,22,46,3.8333333333333335,beat_2
132,11,58,20,38,3.4545454545454546,beat_2
133,7,36,12,24,3.4285714285714284,beat_2
134,11,66,20,46,4.181818181818182,beat_2
135,6,30,10,20,3.3333333333333335,beat_2
136,9,56,16,40,4.444444444444445,beat_2
137,8,44,14,30,3.75,beat_2
138,9,54,16,38,4.222222222222222,beat_2
139,11,64,20,44,4.0,beat_2
140,11,60,20,40,3.6363636363636362,beat_2
141,8,46,14,32,4.0,beat_2
142,11,66,20,46,4.181818181818182,beat_2
143,9,52,16,36,4.0,beat_2
144,10,58,18,40,4.0,beat_2
145,13,74,24,50,3.8461538461538463,beat_2
146,9,52,16,36,4.0,beat_2
147,10,58,18,40,4.0,beat_2
148,11,64,20,44,4.0,beat_2
149,8,46,14,32,4.0,beat_2
150,11,66,20,46,4.181818181818182,beat_2
151,11,68,20,48,4.363636363636363,beat_2
152,8,42,14,28,3.5,beat_2
153,8,44,14,30,3.75,beat_2
154,10,54,18,36,3.6,beat_2
155,13,76,24,52,4.0,beat_2
156,9,54,16,38,4.222222222222222,beat_2
157,10,58,18,40,4.0,beat_2
158,12,70,22,48,4.0,beat_2
