modality,embedding_dimension_1,embedding_dimension_2
audio,-19.097559,-35.275738
audio,-1.5750065,-30.268684
audio,-20.073908,-42.041283
audio,-5.337957,-40.48827
audio,-24.07019,-39.455975
audio,-36.074013,-32.431095
audio,9.665317,-10.814323
audio,-5.4874167,36.648804
audio,16.75652,-24.299042
audio,-6.9526377,-40.835102
audio,-21.07097,-27.960726
audio,-27.435003,-37.79885
audio,-2.7077866,-40.31172
audio,17.352018,-21.762398
audio,-17.30197,-41.145897
audio,-19.287233,-2.5346665
audio,-11.383877,-44.181293
audio,-0.4023777,-22.010538
audio,25.656668,-24.982704
audio,35.489174,14.714965
audio,-11.464941,-40.98164
audio,-11.8922615,-3.5563776
audio,-6.6819158,-27.352154
audio,20.96505,4.7622294
audio,-35.994366,-37.47721
audio,-31.417223,-42.282124
audio,-28.56896,-29.357168
audio,2.9914134,-39.63857
audio,-8.053341,-43.94217
audio,-29.627462,-37.847595
audio,38.773266,8.875768
audio,22.909786,11.228171
audio,-2.8077145,-46.418526
audio,-20.095304,-15.275105
audio,1.8147916,-33.041718
audio,3.3582473,-15.201874
audio,-38.029846,-33.017994
audio,-19.720873,-45.617123
audio,10.750193,-15.910731
audio,-40.845596,-20.322218
audio,-33.382618,-31.858665
audio,-23.264763,-38.755272
audio,34.918182,10.774144
audio,-33.57403,-42.51021
audio,3.9205458,32.14686
audio,-12.279054,-40.027122
audio,33.49342,15.005532
audio,-14.861733,-41.195145
audio,-22.566332,-22.612213
audio,13.177874,-6.5132155
audio,-23.570503,-8.582797
audio,44.539528,-2.561352
audio,-13.450149,-16.431755
audio,26.080204,-24.796244
audio,-19.091257,-24.626987
audio,54.33777,-1.5712143
audio,-15.091251,-4.0257897
audio,41.19288,-21.25239
audio,1.7219213,27.906708
audio,25.422112,3.146486
audio,44.392544,0.21280223
audio,35.630512,30.260977
audio,43.0334,-24.574259
audio,-15.290392,-6.902465
audio,45.22253,15.452037
audio,-38.090363,-22.820599
audio,6.4637394,-10.252814
audio,9.836338,-7.270289
audio,3.3405325,30.772734
audio,-8.009986,-27.308578
audio,50.498318,-3.9296694
audio,37.6237,2.6404092
audio,32.27718,-10.986251
audio,25.416918,-1.7164718
audio,-6.156699,-3.8708973
audio,27.550894,27.783596
audio,-12.797654,-38.097633
audio,6.5775485,-24.983185
audio,44.474068,-3.599144
audio,-17.480927,-49.719418
audio,31.018469,3.0310364
audio,0.28991568,3.119992
audio,2.3349767,32.470196
audio,50.184986,9.586582
audio,23.716488,39.04297
audio,44.503853,-0.817229
audio,-22.575924,-43.112755
audio,-29.306942,-44.318474
audio,-3.9315174,-43.462685
audio,30.643826,-12.720113
audio,18.935215,-30.32264
audio,-21.57789,-32.308353
audio,27.654089,28.434677
audio,50.488876,12.158993
audio,-37.303253,-38.94315
audio,31.650383,3.4230454
audio,33.69024,10.099444
audio,20.444527,10.834848
audio,38.971153,31.509405
audio,-17.153748,-30.522736
audio,13.155866,-20.444118
audio,-37.008896,-16.664541
audio,-19.356804,-2.638448
audio,25.420937,15.309136
audio,25.59691,-25.252346
audio,-15.631477,-5.1636095
audio,-9.945362,-42.829506
audio,-39.87208,-32.829014
audio,-13.958955,-10.419507
audio,20.307169,8.428261
audio,35.855732,0.46309972
audio,31.765059,-4.9666214
audio,13.334283,-17.40494
audio,2.8895586,-29.481047
audio,37.156925,31.526545
audio,29.013317,-21.183792
audio,30.085243,-14.4485035
audio,52.47635,10.890904
audio,47.023228,7.71934
audio,-6.981351,-8.015066
audio,34.08727,9.990797
audio,-15.310939,-36.27456
audio,34.556152,23.729416
audio,10.549451,-16.171225
audio,45.710766,0.38539997
audio,-39.844925,-32.564785
audio,-36.471054,-27.745424
audio,22.103573,29.169271
audio,-25.399227,-32.499855
audio,24.190456,16.229317
audio,-1.86485,-9.763194
audio,-14.567033,-45.15834
audio,36.565056,25.471771
audio,41.54914,2.438544
audio,13.174772,-13.32734
audio,19.791733,-7.9731717
audio,-9.953765,-25.725616
audio,45.626938,23.177238
audio,54.923325,8.782029
audio,29.373255,-11.912674
audio,-14.764322,-20.055588
audio,43.747204,14.265842
audio,-5.1607285,-34.03159
audio,9.798452,-21.119682
audio,40.580402,-24.099937
audio,31.15268,-5.2462335
audio,-44.36214,-25.636833
audio,-11.899236,-4.6231728
audio,23.605223,0.020313019
audio,43.075787,1.209047
audio,-37.66098,-20.337097
audio,-31.757881,-21.167866
audio,38.096718,28.039337
audio,-30.122887,-29.585445
audio,43.236557,-0.68860096
audio,-29.237883,-32.43814
audio,33.161922,18.520054
audio,47.88254,-1.1054039
audio,2.033319,23.734917
audio,-41.373253,-21.433886
audio,28.315508,-20.359814
audio,-21.773521,-4.836997
audio,31.512758,33.7324
audio,24.452974,-3.796261
audio,-9.676413,11.688851
audio,46.799355,22.226517
audio,1.9126433,24.049232
audio,-13.832257,-4.920671
audio,27.448458,15.269024
audio,-19.81732,-18.514208
audio,-11.032075,-43.604866
audio,21.028515,37.126396
audio,31.759848,-11.608512
audio,62.133644,3.8082914
audio,40.21954,30.82614
audio,33.25216,34.419544
audio,36.186394,36.49408
audio,0.49586028,27.98801
audio,-32.58635,-23.348682
audio,47.84028,2.8784137
audio,-20.13683,-8.907604
audio,7.1260614,-47.341743
audio,-18.422968,-42.63655
audio,31.635462,17.494108
