aspect,test_positive_examples,audio_graph_average_precision,caption_average_precision
low quality,190,0.24181966913270148,0.2517295665882979
instrumental,119,0.23747379908800653,0.2652896290330021
passionate,91,0.11795135884405553,0.10939263010079933
noisy,84,0.13870249678930158,0.11417866719412081
emotional,125,0.16179644944610086,0.1763706568841512
energetic,102,0.10007165857085645,0.15019201351124178
amateur recording,77,0.10303736076630204,0.0917661998487909
slow tempo,66,0.13280584412735846,0.15944943740864284
live performance,79,0.10274679619278121,0.16489892406917178
medium tempo,123,0.12115408765318034,0.13430378933218545
mono,41,0.06289088531243578,0.06881967322795252
acoustic drums,77,0.06720215420058974,0.05443136871912309
groovy,62,0.0627793747082227,0.0813140484576533
fast tempo,67,0.07748486404265686,0.15015379982127297
groovy bass,40,0.035144918159880065,0.05971078868604922
moderate tempo,41,0.034915767688281044,0.03922936476923357
bass guitar,68,0.07895871099519436,0.0856190233797746
electric guitar,57,0.09218210895611756,0.0984535585971772
no voices,26,0.04658351118951427,0.04566429892930757
shimmering hi hats,26,0.020990573493125945,0.030432127145166743
punchy kick,41,0.04293963460587654,0.07729771611044352
male voice,42,0.041855429235891826,0.07313601779415604
piano,48,0.06846908253311393,0.12663989278684587
percussion,42,0.10685831308800148,0.08456948538601075
no other instruments,7,0.015323622484621501,0.018342586537169386
punchy snare,43,0.039011630791752815,0.08862606052733096
exciting,19,0.01834946491568423,0.022380885043338614
acoustic guitar,68,0.13453594690370285,0.15475563485912175
bass,33,0.03588984388200246,0.027495771094880862
instrumental music,29,0.05128065097069387,0.056918127073573375
pop,44,0.04383010071686645,0.047763490010555146
male vocal,56,0.09324278309168668,0.10463338952633933
upbeat,31,0.04490307116063423,0.08779088940656457
flat male vocal,17,0.07355806771643997,0.023027395551011978
happy,58,0.1291688396290779,0.0841975546337877
uptempo,52,0.04858949920597777,0.0399347401892787
rock,24,0.03110608930445827,0.10086348495542999
cheerful,19,0.02327634290373176,0.017575421547408945
e-bass,54,0.04014800751403444,0.0359388357495108
romantic,50,0.05841617634675407,0.10070596439423074
